field,grade,is_direct_assay,n_months,decline_mean,decline_median,decline_std,decline_p25,decline_p75,oil_mean,gor_mean,water_cut_mean,field_age_mean,first_year,last_year,api_gravity,sulfur_pct,pour_point_c,vacuum_resid_pct,naphtha_pct,middle_distillate_pct,bottom_of_barrel_pct,ccr_pct,vanadium_ppm,nickel_ppm,nitrogen_ppm,viscosity_cst_40c,tan_mgkoh,wax_pct,main_area,discovery_year,D_monthly,D_annual,D_r2,n_post_peak,half_life_months
ALVHEIM,Alvheim,True,200,0.017201804055749895,-0.008762376778930731,0.2837678716696648,-0.06951673905591982,0.056236597431467326,0.25479755,0.20734362420260385,0.5463513967932438,19.33,2009,2026,34.5440158378669,0.40211278459505,-39.0,8.72113464992648,19.39621897341145,44.78554795670213,34.521202266508084,1.122477243191,2.76486143587745,0.804090641358182,747.235115370179,4.31361173727147,0.430000007152557,6.93596804107413,North sea,1998,0.004697561838300385,0.05637074205960462,0.6077840771615967,196.0,147.55466865993006
BALDER,Balder,True,316,0.03207475684420505,-0.009197674950207138,0.2972092962256701,-0.08258666621935654,0.08533610010861581,0.2532747151898734,0.01972813481025334,0.5843002078923857,45.5,1999,2026,30.0,0.55,-6.0,18.0,16.0,34.0,42.0,,,,,,,,North sea,1967,0.005620427173071531,0.06744512607685837,0.527030027344883,241.0,123.32642327987756
BØYLA,Alvheim,False,121,0.05841951305211448,-0.042810098792535646,0.4992788007025015,-0.13366788321167877,0.04594532506317486,0.02714694214876033,0.09578134421366927,0.4657481371600929,11.62809917355372,2016,2026,34.5440158378669,0.40211278459505,-39.0,8.72113464992648,19.39621897341145,44.78554795670213,34.521202266508084,1.122477243191,2.76486143587745,0.804090641358182,747.235115370179,4.31361173727147,0.430000007152557,6.93596804107413,North sea,2009,0.004206228385884057,0.05047474063060868,0.01586316747982408,119.0,164.79066683257642
DRAUGEN,Draugen,True,374,0.03588329594308265,-0.01265567922608692,0.3580149384836299,-0.08893142767107562,0.06645801661226614,0.3852344117647059,0.038877671275156796,0.5706958937507404,25.983957219251337,1994,2026,41.4190002302327,0.148773065682343,-24.0,5.51249407724695,30.13820917301024,39.74767224144449,25.447823551839953,0.797034543931808,0.877992838670365,0.959436965196403,550.452143262982,2.21504232024333,0.0869999974966049,2.90031688344829,Norwegian sea,1984,0.009777854002196001,0.117334248026352,0.8863086287856035,316.0,70.88949992547157
EDVARD GRIEG,Grane,False,110,0.02064626555344743,-0.017686022934570233,0.30892569309859785,-0.0790843426519911,0.05848616547248552,0.35808509090909096,0.09534476814769577,0.2500671179562641,14.090909090909092,2017,2026,27.1149865857435,0.66784513617451,0.0,19.0037543623531,11.76570998444963,38.192842737989885,47.925515066086575,3.2658749807797,11.0720274438829,3.5232091027351,1949.94386993433,13.7372014832226,1.10000002384186,7.10112377835507,North sea,2007,0.03199228605514446,0.38390743266173355,0.7326044858114898,57.0,21.666072232699516
EKOFISK,Ekofisk,True,643,0.04215078713927508,-0.0031455284835426108,0.3959013095222192,-0.06257117452303171,0.05210111686507063,0.7869419595645412,0.31793219238023573,0.26824808525045696,29.874027993779162,1972,2026,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,23.53437506996303,38.82429027928012,34.111099855306705,1.43135990464352,1.86937570940228,3.00146231462393,1167.98218528124,3.82708799168692,0.100000001490116,7.72782984413177,North sea,1969,0.0012314974478567712,0.014777969374281254,0.026023914449569197,592.0,562.8490597087795
ELDFISK,Ekofisk,False,545,0.04761300908086858,-0.0076460061818773096,0.4184064395857405,-0.06666002391390993,0.061015370284117375,0.22983983486238532,0.33200911968570157,0.20536003001599715,32.89724770642202,1980,2026,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,23.53437506996303,38.82429027928012,34.111099855306705,1.43135990464352,1.86937570940228,3.00146231462393,1167.98218528124,3.82708799168692,0.100000001490116,7.72782984413177,North sea,1970,0.0008541748194994781,0.010250097833993738,0.2129338403087424,543.0,811.4816367053639
EMBLA,Ekofisk,False,377,0.061468440478003046,-0.024335904027420696,0.4791659500482111,-0.13564213564213573,0.11388888888888891,0.028027400530503982,0.7395549782462517,0.03993677937691974,21.787798408488065,1994,2026,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,23.53437506996303,38.82429027928012,34.111099855306705,1.43135990464352,1.86937570940228,3.00146231462393,1167.98218528124,3.82708799168692,0.100000001490116,7.72782984413177,North sea,1988,0.006926522179853675,0.08311826615824411,0.7561645996487548,370.0,100.07145903264663
FRAM,Troll,False,255,0.034046295640793964,-0.0177951709370154,0.35001745920843236,-0.07850372416026365,0.05901024103246222,0.1592327450980392,0.45889396160786344,0.2637866070692807,24.968627450980392,2004,2026,38.765436257241,0.130936656687094,-12.0,7.17051168368127,29.08033978396558,39.56219896972246,28.58076133428843,0.780222344017711,0.302020359581978,0.432467729252159,510.437984649045,2.56868800351999,0.409999996423722,4.50042664573574,North sea,1990,0.006898718170417511,0.08278461804501012,0.7949362598403451,204.0,100.47477856571085
FRAM H-NORD,Troll,False,35,-0.012064554914666594,-0.02908277404921698,0.32297879581098343,-0.14828603327149473,0.06242518742518748,0.008651142857142857,0.0,0.6105178128986645,11.742857142857142,2015,2023,38.765436257241,0.130936656687094,-12.0,7.17051168368127,29.08033978396558,39.56219896972246,28.58076133428843,0.780222344017711,0.302020359581978,0.432467729252159,510.437984649045,2.56868800351999,0.409999996423722,4.50042664573574,North sea,2007,0.010258991740778317,0.12310790088933982,0.46401082037402086,31.0,67.56484438960649
