field,n_dst_samples,api_mean,api_median,api_std,api_min,api_max,gor_mean,gor_count,temp_mean,temp_count,depth_mean
ÅSGARD,47,42.924637884897535,41.10097435897438,4.308909677239304,34.80611529411766,53.04333942558745,861.8695652173913,46,136.42857142857142,21,4192.723404255319
OSEBERG,34,43.08774973751257,36.08819802527093,11.470000966059725,31.922194219653193,64.83360833333333,1207.7878787878788,33,103.15384615384616,13,2660.294117647059
GULLFAKS SØR,32,39.006532228487025,38.241458994983574,6.62154911770846,30.05451199999999,54.5002605263158,1474.8666666666666,30,119.81818181818181,11,3283.40625
HEIDRUN,29,29.911419541049995,26.444355307262555,11.178394712853216,12.4513217922607,55.980368700265274,2459.310344827586,29,85.2,5,2361.0
GULLFAKS,23,33.26282523863854,31.73348498845266,4.647328255801483,28.2290372881356,40.890485365853664,133.8421052631579,19,71.375,8,1909.7391304347825
SNORRE,23,38.07530265425317,37.79365029940121,1.1910738580866023,36.785950000000014,40.890485365853664,152.77272727272728,22,92.9,10,2528.8260869565215
VISUND,22,42.88709895736403,40.890485365853664,6.938197934316161,34.41572535211267,58.24523221476511,768.1363636363636,22,110.57894736842105,19,3014.409090909091
EKOFISK,20,34.8914227606254,35.100173349056604,1.7081222624868921,30.239356979405045,37.187587112171855,397.75,4,,0,3172.45
OSEBERG SØR,17,38.355923299081695,35.00200000000001,7.221140224483647,30.982986206896555,56.980264000000005,947.6875,16,78.85714285714286,7,2824.6470588235293
SNØHVIT,16,47.58233417008826,50.31383467657888,8.691375547244268,31.73348498845266,57.231906542056095,15454.25,16,80.0909090909091,11,2262.625
KRISTIN,16,46.70943128723168,46.31156981132074,1.938500837135631,43.884861042183616,51.37218369987062,1935.7333333333333,15,165.76923076923077,13,4802.1875
TROLL,15,31.655832630965353,27.868881623449823,9.05076012453051,23.840876923076934,49.731023076923066,6772.692307692308,13,64.2,5,1601.6
STATFJORD,15,38.33081347787775,38.81349156626507,1.2356169932851506,36.785950000000014,41.10097435897438,560.2222222222222,9,89.0,1,2614.266666666667
NJORD,12,40.02261988027248,39.84569454545456,1.987715272119518,36.785950000000014,43.45074009900989,266.90909090909093,11,122.66666666666667,3,2986.8333333333335
SLEIPNER VEST,12,44.87196394769045,46.872560591730675,6.025923274712529,27.331683146067405,49.731023076923066,3065.9166666666665,12,121.0,1,3579.5
VALHALL,11,36.978945935184605,36.785950000000014,1.4057931424308021,34.80611529411766,38.81349156626507,909.0,9,,0,2508.818181818182
BALDER,10,25.49455125038984,25.566886666666676,4.31695920105382,20.500212903225787,36.785950000000014,68.14285714285714,7,68.25,4,1794.4
ULA,10,39.50072829232349,40.890485365853664,2.2933630968063827,34.80611529411766,41.7355367647059,77.4,5,145.6,5,3517.7
VEGA,10,43.350553921869306,44.32114179104477,2.3904210223700466,39.224876811594214,45.86536762860729,1990.5,10,131.66666666666666,6,3527.5
VIGDIS,9,35.46378439283489,34.80611529411766,2.16201038799875,32.87232325581397,38.81349156626507,49.888888888888886,9,87.42857142857143,7,2404.6666666666665
FRAM,9,39.16250479227241,38.4040841346154,4.344940673669008,34.80611529411766,44.75959850374065,687.8888888888889,9,93.33333333333333,9,2447.8888888888887
EMBLA,9,43.562136400759734,43.01876296296297,1.7224268186332248,41.10097435897438,45.20024749999999,297.8888888888889,9,150.4,5,4450.333333333333
HUGIN SATELLITTER,9,40.4498214014304,39.84569454545456,2.223259671368786,37.38912544802869,45.20024749999999,336.6666666666667,9,116.66666666666667,3,3240.777777777778
STATFJORD NORD,8,38.432402898631224,37.288356280100274,3.266206677403039,34.80611529411766,45.20024749999999,48.166666666666664,6,93.0,3,2706.5
BRAGE,8,36.01720736440671,35.889280701926594,3.187155142042321,30.05451199999999,39.84569454545456,138.5,8,91.5,2,2178.75
TORDIS,8,42.75644303838568,36.785950000000014,14.98977635271517,27.331683146067405,67.0396039325843,78.8,5,81.25,8,2275.5
GJØA,8,54.00556093212356,59.423465566110025,11.143772276924071,39.63825423728815,64.83360833333333,2770.875,8,79.6,5,2235.75
OSEBERG ØST,8,37.391118418726705,37.493033823529416,2.277493879860647,32.681414634146336,40.26208748481167,57.125,8,,0,2880.5
SLEIPNER ØST,7,56.2188990080716,56.980264000000005,3.6094411490061806,49.03665134099617,59.52729459459459,2105.2,5,,0,2502.8571428571427
GYDA,7,39.85417146625432,39.84569454545456,1.3009824239242114,37.79365029940121,41.7355367647059,115.28571428571429,7,,0,3929.0
HULDRA,7,43.95499549775926,43.667531598512994,1.2757653155343425,42.161176904176926,45.86536762860729,2210.0,7,,0,3823.4285714285716
TOMMELITEN GAMMA,6,43.51789519868775,46.429179371366104,8.032338992605169,29.502503416856484,52.08467272727273,1245.3333333333333,3,,0,3373.5
ELDFISK,6,30.478960939790497,33.1600227714309,8.070385066461487,14.232162886597933,36.18706761565838,,0,,0,2988.6666666666665
VESLEFRIKK,6,38.71266178361841,38.711016541255276,0.5904775776786539,37.79365029940121,39.63825423728815,86.5,6,,0,2914.0
TOMMELITEN A,5,42.898714579330246,41.31197799511003,7.710621423602668,35.00200000000001,54.5002605263158,971.2,5,119.0,5,3111.4
OSELVAR,5,48.022029457378686,47.436959493670884,2.985981828873177,43.884861042183616,51.84656031128404,687.4,5,116.0,4,3080.0
SKARV,5,42.76965575148935,39.018936067551294,10.306542642995574,33.44772228704784,54.74532015810277,1736.2,5,133.0,1,3404.2
ALBUSKJELL,5,44.10939668764241,44.75959850374065,3.2862508061399485,38.4040841346154,46.53551385390429,889.0,2,,0,3342.6
DRAUGEN,5,40.263610873614205,39.84569454545456,0.5722555002069162,39.84569454545456,40.890485365853664,29.8,5,68.0,1,1646.0
TOR,4,37.56776889620267,40.57577646541071,6.2281754878473965,28.2290372881356,40.890485365853664,1728.75,4,,0,3120.0
TYRIHANS,4,40.28323603906233,39.92871087033123,10.01976657915949,30.610318807339468,50.665203608247396,1151.5,4,135.0,2,3678.75
VALEMON,4,45.01228471059986,46.31156981132074,2.749893355948714,40.890485365853664,46.53551385390429,5925.0,4,,0,4001.0
