dropped_field,n_obs_dropped,coef_const,coef_api_gravity,coef_api2,coef_sulfur_pct,coef_is_bfoet,r2,r2_adj
ALVHEIM,94,-10.947819777380602,0.6456128055285947,-0.010280409423818035,2.0863488664984358,2.658655119094764,0.44067752210618605,0.30907223318999455
BALDER,76,-4.541611547180206,0.45109921586662316,-0.008730565666401065,-1.6487269894280203,2.1172424524584756,0.3923481679609544,0.2493712663047083
DRAUGEN,20,-12.182251010625993,0.7462770388268302,-0.011681203959857358,1.3840777191422309,2.3089550800316645,0.3545352983724027,0.20266125093061504
EKOFISK,94,-12.291161947633094,0.7509756387175355,-0.011719409030383947,1.39183013418682,2.4238552098338095,0.3267241484898761,0.1683063010757292
GINA KROG,43,-12.202288346555417,0.7663870617070476,-0.012064460899109593,0.9186786349312277,2.2271388042051252,0.3554386463839583,0.2037771514154778
GOLIAT,59,-11.324207751205728,0.684442555721902,-0.010734640983828123,1.3951630880944128,2.436615598167032,0.361959804516757,0.21183269969717045
GRANE,95,-23.933785835669028,1.405152037646764,-0.020494559496511307,0.25430172169414283,2.3040492685328817,0.4415738224959541,0.3101794277891198
GUDRUN,84,-16.093235734579473,0.9332995772036143,-0.013717545251284508,2.757638191144513,1.853096694407452,0.4668816525198928,0.34144204134810285
GULLFAKS,96,-9.887755339210395,0.6260516037703172,-0.010114865778013004,0.5304284135812599,2.503513503669768,0.3629901712879351,0.21310550570862563
HEIDRUN,94,-12.459469314515975,0.7638402318793418,-0.011946064934181605,1.5281479127519804,2.2606216487900017,0.35585110687376575,0.2042866614322988
JOHAN SVERDRUP,59,-14.211037781449432,0.8310032390308124,-0.01269286881861841,3.053850713042927,2.176822027429748,0.37172668703258016,0.22389767221671664
JOTUN,20,-12.101316640826479,0.7447915374096615,-0.011678928831651572,1.3138035503344185,2.295889182605486,0.35348047679735994,0.20135823604379754
KNARR,29,-12.347711465383073,0.7614928416880715,-0.01188384578575983,1.2166537024209299,2.2409761017634966,0.35346258941768793,0.20133613986890864
MARTIN LINGE,47,-12.585871063185156,0.75713249648933,-0.011872095864959917,1.9559070854974432,2.4104423023857606,0.386745089224488,0.24244981610083816
NJORD,19,-12.173994650248819,0.7457618201396072,-0.011667956891202003,1.3723538789962857,2.305725390142212,0.3542358878681635,0.2022913908959667
NORNE,73,-12.06001929683913,0.7067106769656227,-0.010886929573514713,1.9484456874494622,2.4359305089585006,0.3622541811734925,0.2121963414496083
OSEBERG,95,-12.232186317654541,0.7488866068208123,-0.011706308143261578,1.3793748183784589,2.3353775541367896,0.318685589938155,0.1583763169824267
SKARV,71,-12.171545239789085,0.7725023198925709,-0.012153867619442258,0.6385279098679587,2.171108908239874,0.3525479323486952,0.20020626937191754
STATFJORD,95,-11.347787446209535,0.7024697002358966,-0.011156297706132561,1.1666139324312792,2.4107516699382954,0.3634219241758476,0.2136388475113411
TROLL,96,-12.484957437555911,0.7572563926237098,-0.011755596201732589,1.4725929089279275,2.1258352580403987,0.29131414162272207,0.12456452788689187
VOLVE,5,-12.103992388756636,0.747734386581754,-0.011741590008732601,1.2658341355999214,2.2860082185020283,0.3559202121326288,0.2043720267520709
YME,31,-12.860861687020543,0.7884209522637756,-0.012292620836251197,1.5594036354063492,2.22448332440682,0.3640567396261557,0.2144230313028982
ÅSGARD,96,-8.52265937864612,0.47609114015345383,-0.007048349126009896,1.54342267134745,2.327069134984874,0.22883190699765987,0.04738059099710923
