field,region,note,dno_pct,quality_key,gross_oil_kbpd,dno_oil_kbpd,gross_boe_kbpd,dno_boe_kbpd,api,sulfur,q_conf,n_sodir_months,diff_usd,diff_source,dno_prod_for_weight,rev_contribution
EKOFISK,Nordsjoen,Sval (Ekofisk complex),7.6,EKOFISK,49.108140878850094,3.7322187067926067,1236.7720743545517,93.99467765094592,37.5,0.25,medium,12,1.786170211878229,normpris,3.7322187067926067,6.66637787828764
ELDFISK,Nordsjoen,Sval (Ekofisk complex),7.6,EKOFISK,38.58708349897331,2.9326183459219717,1152.0490826611913,87.55573028225054,37.5,0.25,medium,12,1.786170211878229,normpris,2.9326183459219717,5.23815553229343
EMBLA,Nordsjoen,Sval (Ekofisk complex),7.6,EKOFISK,1.2217968788501028,0.09285656279260782,287.0016109404517,21.812122431474332,37.5,0.25,medium,12,1.786170211878229,normpris,0.09285656279260782,0.1658576264375564
TOR,Nordsjoen,Sval (Ekofisk complex),7.6,EKOFISK,5.79367641889117,0.4403194078357289,152.17314097741274,11.565158714283369,37.5,0.25,medium,12,1.786170211878229,normpris,0.4403194078357289,0.7864854099880403
MARTIN LINGE,Nordsjoen,Sval,15.0,MARTIN LINGE,13.741469420944558,2.0612204131416836,4022.6395327967143,603.3959299195071,41.0,0.04,medium,12,1.3542553191489364,normpris,2.0612204131416836,2.791418708435493
KVITEBJØRN,Nordsjoen,Sval - cond tied to Troll area,10.0,ÅSGARD,5.742187022587269,0.574218702258727,6316.351022050651,631.6351022050651,49.0,0.13,medium,12,-3.7641104182499148,normpris,0.574218702258727,-2.16142259952602
NOVA,Nordsjoen,Sval - quality estimert,15.0,,18.5892219137577,2.788383287063655,1049.6836450978783,157.45254676468173,,,ukjent,12,,ingen data,2.788383287063655,0.0
MARIA,Nordsjoen,Sval - tieback til Heidrun,10.0,HEIDRUN,14.877163630390143,1.4877163630390142,402.1948692457221,40.21948692457221,28.5,0.5,high,12,-0.050507045417379846,normpris,1.4877163630390142,-0.07514015791619065
GUDRUN,Nordsjoen,Sval,10.0,GUDRUN,10.0598914825462,1.00598914825462,1663.7741751403148,166.37741751403146,39.0,0.3,low,12,-5.1303559523809525,normpris,1.00598914825462,-5.1610824147787335
MARULK,Nordsjoen,DNO Norge - gass,50.0,,0.21904519096509242,0.10952259548254623,663.4596398302532,331.7298199151266,,,ukjent,12,,ingen data,0.10952259548254623,0.0
TRYM,Nordsjoen,DNO Norge - gass/kond,50.0,,0.8734254784394251,0.43671273921971254,551.1266766762493,275.56333833812465,,,ukjent,12,,ingen data,0.43671273921971254,0.0
VERDANDE,Nordsjoen,"DNO - Norne area, opp sent 2025",14.83,NORNE,7.888726570841888,1.1698981504558519,150.31227324845997,22.291310122746612,32.0,0.16,medium,4,1.356868492852825,normpris,1.1698981504558519,1.5873979402003393
TAWKE,Kurdistan,"Tawke-lisensen (75%, operator)",75.0,,45.0,33.75,45.0,33.75,28.0,3.5,medium,0,-8.0,markedsestimat,33.75,-270.0
PESHKABIR,Kurdistan,"Tawke-lisensen (75%, operator)",75.0,,15.0,11.25,15.0,11.25,26.0,3.8,medium,0,-8.0,markedsestimat,11.25,-90.0
CI-26,VestAfrika,Côte d'Ivoire,27.0,,12.222222222222221,3.3,12.222222222222221,3.3,35.0,0.2,low,0,-0.1,estimat,3.3,-0.33
