grade,date_str,differential,predicted,residual,api_gravity,sulfur_pct,vacuum_resid_pct,ccr_wt_pct,brent_price,region_simple,distance_band,is_landlocked
Alvheim,2012-04-01,3.950000047683716,2.167020902437006,1.7829791452467099,38.4,0.15,13,1.4,119.75,NorthSea,short,0
Alvheim,2012-05-01,3.299999952316284,1.8989398757490088,1.4010600765672754,38.4,0.15,13,1.4,110.34,NorthSea,short,0
Alvheim,2012-06-01,3.700000047683716,3.942788578341334,-0.2427885306576183,38.4,0.15,13,1.4,95.16,NorthSea,short,0
Alvheim,2012-07-01,3.0,2.489069795363889,0.5109302046361108,38.4,0.15,13,1.4,102.62,NorthSea,short,0
Alvheim,2012-08-01,3.4000000953674316,0.6151810407566698,2.784819054610762,38.4,0.15,13,1.4,113.36,NorthSea,short,0
Alvheim,2012-09-01,3.4000000953674316,1.11290792643838,2.2870921689290515,38.4,0.15,13,1.4,112.86,NorthSea,short,0
Alvheim,2013-01-01,4.050000190734863,-1.9029020957581921,5.952902286493055,38.4,0.15,13,1.4,112.96,NorthSea,short,0
Alvheim,2013-02-01,2.4000000953674316,-2.069177403962224,4.469177499329655,38.4,0.15,13,1.4,116.05,NorthSea,short,0
Alvheim,2013-03-01,3.4000000953674316,0.456315741427461,2.943684353939971,38.4,0.15,13,1.4,108.47,NorthSea,short,0
Alvheim,2017-01-01,1.45,-0.011261270495253939,1.461261270495254,38.4,0.15,13,1.4,54.58,NorthSea,short,0
Alvheim,2017-02-01,1.2,1.3703377183602095,-0.1703377183602095,38.4,0.15,13,1.4,54.87,NorthSea,short,0
Alvheim,2017-03-01,1.5,1.3796029779505068,0.12039702204949321,38.4,0.15,13,1.4,51.59,NorthSea,short,0
Alvheim,2017-07-01,1.35,3.222497885108317,-1.872497885108317,38.4,0.15,13,1.4,48.48,NorthSea,short,0
Alvheim,2017-08-01,1.75,2.586425556237714,-0.8364255562377139,38.4,0.15,13,1.4,51.7,NorthSea,short,0
Alvheim,2017-09-01,2.2,0.7987562764123276,1.4012437235876725,38.4,0.15,13,1.4,56.15,NorthSea,short,0
Alvheim,2019-04-01,1.8,1.6231958163078704,0.1768041836921297,38.4,0.15,13,1.4,71.23,NorthSea,short,0
Alvheim,2019-05-01,2.15,0.4496022638422439,1.700397736157756,38.4,0.15,13,1.4,71.32,NorthSea,short,0
Alvheim,2019-06-01,3.0,0.901529290152961,2.0984707098470388,38.4,0.15,13,1.4,64.22,NorthSea,short,0
Alvheim,2019-08-01,2.452747,3.198714521283807,-0.7459675212838071,38.4,0.15,13,1.4,59.04,NorthSea,short,0
Alvheim,2019-09-01,2.5,2.2398368951687275,0.2601631048312725,38.4,0.15,13,1.4,62.83,NorthSea,short,0
Alvheim,2019-10-01,2.55,1.8582011512319312,0.6917988487680686,38.4,0.15,13,1.4,59.71,NorthSea,short,0
Alvheim,2019-11-01,3.15,1.131183569620713,2.018816430379287,38.4,0.15,13,1.4,63.21,NorthSea,short,0
Alvheim,2019-12-01,3.7,1.533344429045975,2.166655570954025,38.4,0.15,13,1.4,67.31,NorthSea,short,0
Alvheim,2020-01-01,4.65,1.7455516120192902,2.90444838798071,38.4,0.15,13,1.4,63.65,NorthSea,short,0
Alvheim,2020-02-01,3.85,1.4476984194629905,2.4023015805370096,38.4,0.15,13,1.4,55.66,NorthSea,short,0
Alvheim,2020-03-01,3.65,-0.5501150241930117,4.200115024193011,38.4,0.15,13,1.4,32.01,NorthSea,short,0
Alvheim,2020-04-01,2.75,-2.135467508542097,4.8854675085420975,38.4,0.15,13,1.4,18.38,NorthSea,short,0
Alvheim,2020-05-01,-4.7,-0.6228599345176944,-4.077140065482306,38.4,0.15,13,1.4,29.38,NorthSea,short,0
Alvheim,2020-06-01,-0.7,-0.5065235845844362,-0.1934764154155637,38.4,0.15,13,1.4,40.27,NorthSea,short,0
Alvheim,2020-07-01,1.1,-0.2822745213777258,1.3822745213777259,38.4,0.15,13,1.4,43.24,NorthSea,short,0
Alvheim,2020-08-01,1.15,-0.10016264087743929,1.2501626408774391,38.4,0.15,13,1.4,44.74,NorthSea,short,0
Alvheim,2020-09-01,1.05,0.7534540078096585,0.2965459921903415,38.4,0.15,13,1.4,40.91,NorthSea,short,0
Alvheim,2020-10-01,0.4,0.5242278157635096,-0.12422781576350961,38.4,0.15,13,1.4,40.19,NorthSea,short,0
Alvheim,2020-11-01,0.15,0.8169994958361675,-0.6669994958361675,38.4,0.15,13,1.4,42.69,NorthSea,short,0
Alvheim,2020-12-01,0.05,0.3594277894337563,-0.3094277894337563,38.4,0.15,13,1.4,49.99,NorthSea,short,0
Alvheim,2021-01-01,0.8,1.4269851652326782,-0.6269851652326781,38.4,0.15,13,1.4,54.77,NorthSea,short,0
Alvheim,2021-02-01,0.75,0.06602321181511633,0.6839767881848837,38.4,0.15,13,1.4,62.28,NorthSea,short,0
Alvheim,2021-03-01,0.4,0.633511991890821,-0.23351199189082095,38.4,0.15,13,1.4,65.41,NorthSea,short,0
Alvheim,2021-04-01,0.75,1.3565016205245415,-0.6065016205245415,38.4,0.15,13,1.4,64.81,NorthSea,short,0
Alvheim,2021-05-01,0.5,1.3140342292748606,-0.8140342292748606,38.4,0.15,13,1.4,68.53,NorthSea,short,0
Alvheim,2021-07-01,0.75,2.153020887480058,-1.403020887480058,38.4,0.15,13,1.4,75.17,NorthSea,short,0
Alvheim,2021-08-01,1.55,2.3990190211709974,-0.8490190211709974,38.4,0.15,13,1.4,70.75,NorthSea,short,0
Alvheim,2021-09-01,0.55,1.852168390838065,-1.302168390838065,38.4,0.15,13,1.4,74.49,NorthSea,short,0
Alvheim,2021-10-01,0.7,1.375840340275612,-0.6758403402756121,38.4,0.15,13,1.4,83.54,NorthSea,short,0
Alvheim,2021-11-01,1.1,1.7181203706888655,-0.6181203706888654,38.4,0.15,13,1.4,81.05,NorthSea,short,0
Alvheim,2021-12-01,1.5,1.7127981850155802,-0.21279818501558023,38.4,0.15,13,1.4,74.17,NorthSea,short,0
Alvheim,2022-01-01,1.4,2.1807271293170647,-0.7807271293170648,38.4,0.15,13,1.4,86.51,NorthSea,short,0
Alvheim,2022-02-01,1.95,1.742825000434952,0.20717499956504803,38.4,0.15,13,1.4,97.13,NorthSea,short,0
Alvheim,2022-03-01,3.55,1.2568415887689035,2.2931584112310963,38.4,0.15,13,1.4,117.25,NorthSea,short,0
Alvheim,2022-04-01,6.2,5.125916666099057,1.0740833339009432,38.4,0.15,13,1.4,104.58,NorthSea,short,0
Alvheim,2022-05-01,5.5,5.167218948408108,0.3327810515918923,38.4,0.15,13,1.4,113.34,NorthSea,short,0
Alvheim,2022-06-01,7.0,1.7293819460168938,5.270618053983107,38.4,0.15,13,1.4,122.71,NorthSea,short,0
Alvheim,2022-07-01,8.0,0.4569061238178296,7.54309387618217,38.4,0.15,13,1.4,111.93,NorthSea,short,0
Alvheim,2022-08-01,10.95,2.529861320851628,8.420138679148371,38.4,0.15,13,1.4,100.45,NorthSea,short,0
Alvheim,2022-09-01,11.4,4.241885253253063,7.1581147467469375,38.4,0.15,13,1.4,89.76,NorthSea,short,0
Alvheim,2022-10-01,6.1,3.7253266141795605,2.374673385820439,38.4,0.15,13,1.4,93.33,NorthSea,short,0
Alvheim,2022-11-01,6.75,1.5293996307279931,5.220600369272007,38.4,0.15,13,1.4,91.42,NorthSea,short,0
Alvheim,2022-12-01,5.9,2.430494580068829,3.4695054199311715,38.4,0.15,13,1.4,80.92,NorthSea,short,0
Alvheim,2023-01-01,4.5,0.4859606919530731,4.014039308046927,38.4,0.15,13,1.4,82.5,NorthSea,short,0
Alvheim,2023-02-01,5.2,0.747155809224196,4.452844190775804,38.4,0.15,13,1.4,82.59,NorthSea,short,0
Alvheim,2023-03-01,1.4,2.4309925082375416,-1.0309925082375417,38.4,0.15,13,1.4,78.43,NorthSea,short,0
Alvheim,2023-04-01,1.4,2.3411908338457734,-0.9411908338457735,38.4,0.15,13,1.4,84.64,NorthSea,short,0
Alvheim,2023-05-01,1.5,3.1036152518981206,-1.6036152518981206,38.4,0.15,13,1.4,75.47,NorthSea,short,0
Alvheim,2023-06-01,2.65,2.755783420742696,-0.10578342074269598,38.4,0.15,13,1.4,74.84,NorthSea,short,0
Alvheim,2023-07-01,3.55,3.2971367701514103,0.25286322984858955,38.4,0.15,13,1.4,80.11,NorthSea,short,0
Alvheim,2023-08-01,5.0,3.0724194949570416,1.9275805050429584,38.4,0.15,13,1.4,86.15,NorthSea,short,0
Alvheim,2023-09-01,2.55,3.5956940553988566,-1.0456940553988567,38.4,0.15,13,1.4,93.72,NorthSea,short,0
