grade,n,api,sulfur,vac_resid,distance,landlocked,mean_actual,mean_pred,resid,rmse
Troll,75,38.765436257241,0.130936656687094,7.17051168368127,short,0,2.693333336512248,1.8857601460384543,0.8075731904737934,2.4474403788614074
Ekofisk,74,38.8888505112461,0.207184367217011,12.2005750162672,short,0,1.7540540529263986,1.015851393856242,0.7382026590701567,2.0161227310439247
Gudrun,65,52.8907602496174,0.107484276736867,3.48375045787699,short,0,-4.916921538461538,-5.654038291009434,0.7371167525478955,3.9813547381717793
Grane,75,27.1149865857435,0.66784513617451,19.0037543623531,short,0,0.06130296105146409,-0.580042866628062,0.6413458276795261,2.03503195280419
Oseberg,75,39.9434656421417,0.189810897966947,8.32821784897739,short,0,1.9379784663658142,1.4182811406422988,0.5196973257235153,2.150170606269386
Skarv,59,50.8043095440118,0.0641524144208956,1.75244463606187,short,0,-2.1584442711864407,-2.5850583826299167,0.42661411144347616,2.47067874868729
Alvheim,74,34.5440158378669,0.40211278459505,8.72113464992648,short,0,2.9209830759444366,2.5432207449528548,0.37776233099158163,2.7535299712521373
Basrah Light,142,30.5,2.9,25.0,long,0,-3.277464788732394,-3.5717837397664667,0.29431895103407274,4.1568648518665805
Gullfaks,75,39.2636091110806,0.211019881476799,9.12833245275655,short,0,1.7240996032052716,1.4328389346383972,0.29126066856687427,2.4056295221465525
Heidrun,73,24.4409440894606,0.532004638793878,15.7949149993578,short,0,-0.17120085300320143,-0.36529142533379916,0.19409057233059773,2.932120343524481
Arab Extra Light,98,38.5,1.1,10.0,long,0,-0.6375510204081638,-0.7978455449568798,0.16029452454871596,3.1166748674056857
Goliat,55,41.2541667789031,0.167457488915332,6.54579925633189,short,0,2.0119029090909093,1.8593516196306492,0.1525512894602598,2.7290006485586287
Bow River Heavy,206,20.9,3.24,38.0,long,1,-18.806699029126214,-18.931835114932117,0.1251360858059053,7.28496179132409
Dubai Fateh,215,31.0,2.0,21.0,long,0,-2.185363709899808,-2.2600445409551355,0.07468083105532769,2.4638819972376242
Canadian Light Sour,183,35.8,1.42,5.0,long,1,-9.413715846994537,-9.482253280400972,0.06853743340643623,4.956689645392921
Bonny Light,36,34.9,0.151,29.249,medium,0,4.76638888888889,4.763536655604432,0.0028522332844574333,3.9533992833757554
WTI,215,47.501095054051945,0.0464210149092066,4.045546891848245,short,1,-4.802651162790697,-4.802651162798222,7.524197285895986e-12,4.621418112443231
Maya,215,21.5,3.6,40.0,short,0,-9.17567441860465,-9.175674418611527,6.8762236215069455e-12,3.9747766092352337
Merey,60,16.0,2.5,52.0,short,0,-7.818666666666667,-7.818666666670515,3.848240244982056e-12,2.917273105168789
Qua Iboe,39,37.29918827600483,0.1199977229937121,4.700861775204813,medium,0,4.593333333333335,4.595966164042425,-0.002632830709090287,3.8736804355860457
Arab Light,197,33.5,1.5,18.0,long,0,-1.389289340101523,-1.1896793658848255,-0.19960997421669746,4.78010378260077
Arab Medium,164,30.5,2.5,24.0,long,0,-3.476768292682927,-3.2680160475497693,-0.20875224513315768,4.944915842329792
Lloydminster,105,21.3,3.46,40.0,long,1,-20.079428571428572,-19.714472533463823,-0.36495603796474607,7.2413584677874026
Johan Sverdrup,39,28.6999948032333,0.808983374979588,19.0386635517432,short,0,-0.782051282051282,-0.15206954090084937,-0.6299817411504326,2.1632199242870267
Statfjord,75,39.2677387701335,0.249441048544377,9.47536168226264,short,0,0.7025003701297462,1.36977476305462,-0.6672743929248739,2.283119538784335
Norne,63,33.9955719154872,0.173762395630177,8.05150046202256,short,0,1.5008158726707337,2.536016769289506,-1.035200896618772,2.95355381919174
Martin Linge,30,27.8422641859289,0.21138196382242,13.4803606425822,short,0,1.0666666666666667,2.4223510159588435,-1.3556843492921766,2.711586917497758
Njord,1,44.766792129643,0.0643388067225921,3.2485766922058,short,0,-0.35,1.2166190083192332,-1.566619008319233,1.566619008319233
Draugen,11,41.4190002302327,0.148773065682343,5.51249407724695,short,0,0.1318181818181818,1.7767204350609085,-1.6449022532427267,2.0482360304774576
Asgard,75,47.5080455323182,0.203404583226431,4.56725838759823,short,0,-3.7180613353598915,-1.750723452070028,-1.9673378832898634,3.710022517660597
