grade,date_str,differential,predicted,residual,api_gravity,sulfur_pct,vacuum_resid_pct,brent_price,region_simple,distance_band,is_landlocked
Alvheim,2012-04-01,3.950000047683716,0.8032343594799424,3.1467656882037733,34.5440158378669,0.40211278459505,8.72113464992648,119.75,NorthSea,short,0
Alvheim,2012-05-01,3.299999952316284,0.861883865938745,2.4381160863775393,34.5440158378669,0.40211278459505,8.72113464992648,110.34,NorthSea,short,0
Alvheim,2012-06-01,3.700000047683716,3.193545655981901,0.5064543917018147,34.5440158378669,0.40211278459505,8.72113464992648,95.16,NorthSea,short,0
Alvheim,2012-07-01,3.0,1.9229735587284333,1.0770264412715667,34.5440158378669,0.40211278459505,8.72113464992648,102.62,NorthSea,short,0
Alvheim,2012-08-01,3.4000000953674316,-0.33311146275093595,3.7331115581183676,34.5440158378669,0.40211278459505,8.72113464992648,113.36,NorthSea,short,0
Alvheim,2012-09-01,3.4000000953674316,-0.40363972134876924,3.803639816716201,34.5440158378669,0.40211278459505,8.72113464992648,112.86,NorthSea,short,0
Alvheim,2013-01-01,4.050000190734863,-1.3665177099520145,5.416517900686878,34.5440158378669,0.40211278459505,8.72113464992648,112.96,NorthSea,short,0
Alvheim,2013-02-01,2.4000000953674316,-1.5948452727210705,3.994845368088502,34.5440158378669,0.40211278459505,8.72113464992648,116.05,NorthSea,short,0
Alvheim,2013-03-01,3.4000000953674316,0.7896213193509453,2.6103787760164865,34.5440158378669,0.40211278459505,8.72113464992648,108.47,NorthSea,short,0
Alvheim,2017-01-01,1.45,2.468661450362667,-1.0186614503626672,34.5440158378669,0.40211278459505,8.72113464992648,54.58,NorthSea,short,0
Alvheim,2017-02-01,1.2,2.309341262485369,-1.109341262485369,34.5440158378669,0.40211278459505,8.72113464992648,54.87,NorthSea,short,0
Alvheim,2017-03-01,1.5,2.5980574045193587,-1.0980574045193587,34.5440158378669,0.40211278459505,8.72113464992648,51.59,NorthSea,short,0
Alvheim,2017-07-01,1.35,5.075816157680715,-3.725816157680715,34.5440158378669,0.40211278459505,8.72113464992648,48.48,NorthSea,short,0
Alvheim,2017-08-01,1.75,4.6626851318341895,-2.9126851318341895,34.5440158378669,0.40211278459505,8.72113464992648,51.7,NorthSea,short,0
Alvheim,2017-09-01,2.2,2.77989167184379,-0.5798916718437899,34.5440158378669,0.40211278459505,8.72113464992648,56.15,NorthSea,short,0
