qstr,ALVHEIM,BØYLA,EDVARD GRIEG,HOD,IVAR AASEN,JOHAN SVERDRUP,SKARV,ULA,VALHALL,YGGDRASIL,total
2026-Q3,21.0,2.5,16.0,6.5,5.0,215.0,3.0,7.0,27.0,0.0,303.0
2026-Q4,20.5,2.5,16.5,7.0,5.0,215.0,3.0,7.0,27.5,0.0,304.0
2027-Q1,20.0,2.5,16.5,7.0,5.0,210.0,3.0,7.0,28.0,0.0,299.0
2027-Q2,19.5,2.0,16.0,7.0,4.5,208.0,2.5,6.5,28.0,8.0,302.0
2027-Q3,19.0,2.0,15.5,6.5,4.5,205.0,2.5,6.0,27.5,22.0,310.5
2027-Q4,18.5,1.5,15.0,6.5,4.0,202.0,2.5,6.0,27.0,38.0,321.0
2028-Q1,18.0,1.5,15.0,6.5,4.0,200.0,2.0,5.5,27.0,50.0,329.5
2028-Q2,17.5,1.5,14.5,6.0,3.5,198.0,2.0,5.0,26.5,62.0,336.5
2028-Q3,17.0,1.0,14.0,6.0,3.5,195.0,2.0,5.0,26.5,70.0,340.0
2028-Q4,16.5,1.0,13.5,6.0,3.0,193.0,2.0,4.5,26.0,75.0,340.5
