grade,n,mean_resid,std_resid,abs_mean,rmse,max_abs
Martin Linge,30,-2.02,1.91,2.38,2.76,6.08
Asgard,75,-1.54,2.59,2.31,3.0,10.16
Njord,1,-1.53,,1.53,1.53,1.53
Draugen,11,-1.04,0.81,1.13,1.29,2.31
Norne,63,-0.91,1.99,1.78,2.17,6.78
Statfjord,75,-0.79,1.46,1.31,1.65,5.65
Ekofisk,74,0.63,1.47,1.08,1.59,6.49
Alvheim,74,0.61,1.96,1.41,2.04,7.63
Goliat,55,0.56,2.08,1.47,2.14,7.8
Gudrun,65,0.56,3.16,2.6,3.19,7.4
Grane,75,0.53,1.8,1.4,1.86,6.09
Troll,75,0.5,1.7,1.21,1.76,7.17
Oseberg,75,0.47,1.29,1.0,1.36,5.59
Skarv,59,0.24,2.69,2.18,2.68,7.66
Arab Extra Light,98,0.23,2.6,1.91,2.6,10.64
Heidrun,73,0.21,2.44,1.88,2.43,6.73
Bonny Light,36,-0.2,3.42,2.55,3.38,10.58
Johan Sverdrup,39,-0.19,1.81,1.4,1.8,4.37
Gullfaks,75,0.18,1.72,1.18,1.71,7.22
Qua Iboe,39,0.18,2.49,1.52,2.46,11.18
Arab Light,197,-0.16,4.47,3.1,4.46,20.15
Dubai Fateh,215,0.15,1.59,1.28,1.6,5.13
Arab Medium,164,-0.13,4.45,3.18,4.44,20.65
Basrah Light,142,-0.02,3.81,2.68,3.79,19.44
