field,main_area,operator,tier,provenance,api_gravity,sulfur_pct,vacuum_resid_pct,ccr_pct,vanadium_ppm,nickel_ppm,middle_distillate_pct
ALVHEIM,North sea,Aker BP ASA,1_STANDALONE,assay:Alvheim,34.5440158378669,0.40211278459505,8.72113464992648,1.122477243191,2.76486143587745,0.804090641358182,44.78554795670213
BALDER,North sea,Vår Energi ASA,1_STANDALONE,assay:Balder,30.0,0.55,18.0,,,,34.0
DRAUGEN,Norwegian sea,OKEA ASA,1_STANDALONE,assay:Draugen,41.4190002302327,0.148773065682343,5.51249407724695,0.797034543931808,0.877992838670365,0.959436965196403,39.74767224144449
EKOFISK,North sea,ConocoPhillips Skandinavia AS,1_STANDALONE,assay:Ekofisk,38.8888505112461,0.207184367217011,12.2005750162672,1.43135990464352,1.86937570940228,3.00146231462393,38.82429027928012
GINA KROG,North sea,Equinor Energy AS,1_STANDALONE,assay:Gina Krog,37.0,0.25,12.0,,,,34.0
GOLIAT,Barents sea,Vår Energi ASA,1_STANDALONE,assay:Goliat,41.2541667789031,0.167457488915332,6.54579925633189,0.700538724073377,1.11471015654105,0.730279660053952,46.39963912368749
GRANE,North sea,Equinor Energy AS,1_STANDALONE,assay:Grane,27.1149865857435,0.66784513617451,19.0037543623531,3.2658749807797,11.0720274438829,3.5232091027351,38.192842737989885
GUDRUN,North sea,Equinor Energy AS,1_STANDALONE,assay:Gudrun,52.8907602496174,0.107484276736867,3.48375045787699,0.427908176878432,0.385522532639454,0.141652533531472,28.04992635945584
GULLFAKS,North sea,Equinor Energy AS,1_STANDALONE,assay:Gullfaks,39.2636091110806,0.211019881476799,9.12833245275655,1.29277263814823,1.36373739122237,1.00202473443379,40.578826121203626
HEIDRUN,Norwegian sea,Equinor Energy AS,1_STANDALONE,assay:Heidrun,24.4409440894606,0.532004638793878,15.7949149993578,2.28098943136035,11.327379295567,2.45025444436768,44.70309629756213
JOHAN SVERDRUP,North sea,Equinor Energy AS,1_STANDALONE,assay:Johan Sverdrup,28.6999948032333,0.808983374979588,19.0386635517432,4.21493937539443,12.0608348247495,3.77434185643808,36.93440775154023
JOTUN,North sea,Vår Energi ASA,1_STANDALONE,assay:Jotun,32.0,0.3,16.0,,,,34.0
KNARR,North sea,,1_STANDALONE,assay:Knarr,26.0,0.65,22.0,,,,30.0
MARTIN LINGE,North sea,Equinor Energy AS,1_STANDALONE,assay:Martin Linge,27.8422641859289,0.21138196382242,13.4803606425822,1.5816027401334,0.636634664657283,2.61782713325675,46.85265068316069
NJORD,Norwegian sea,Equinor Energy AS,1_STANDALONE,assay:Njord,44.766792129643,0.0643388067225921,3.2485766922058,0.351998049953245,0.316729805959251,0.221407579785093,39.30790353521274
NORNE,Norwegian sea,Equinor Energy AS,1_STANDALONE,assay:Norne,33.9955719154872,0.173762395630177,8.05150046202256,1.0125261514852,0.514814556054689,1.4130265807347,45.44239814855472
OSEBERG,North sea,Equinor Energy AS,1_STANDALONE,assay:Oseberg,39.9434656421417,0.189810897966947,8.32821784897739,1.26116051024895,0.884546002984465,1.07199277773617,42.91410169649291
SKARV,Norwegian sea,Aker BP ASA,1_STANDALONE,assay:Skarv,50.8043095440118,0.0641524144208956,1.75244463606187,0.244097827507834,0.504163746301246,0.171384269186692,46.71379168035491
STATFJORD,North sea,Equinor Energy AS,1_STANDALONE,assay:Statfjord,39.2677387701335,0.249441048544377,9.47536168226264,1.33838521711888,1.6278343315846,0.98808960819825,40.498496911447944
TROLL,North sea,Equinor Energy AS,1_STANDALONE,assay:Troll,38.765436257241,0.130936656687094,7.17051168368127,0.780222344017711,0.302020359581978,0.432467729252159,39.56219896972246
BØYLA,North sea,Aker BP ASA,2_BLEND,blend:Alvheim,34.5440158378669,0.40211278459505,8.72113464992648,1.122477243191,2.76486143587745,0.804090641358182,44.78554795670213
EDVARD GRIEG,North sea,Aker BP ASA,2_BLEND,blend:Grane,27.1149865857435,0.66784513617451,19.0037543623531,3.2658749807797,11.0720274438829,3.5232091027351,38.192842737989885
ELDFISK,North sea,ConocoPhillips Skandinavia AS,2_BLEND,blend:Ekofisk,38.8888505112461,0.207184367217011,12.2005750162672,1.43135990464352,1.86937570940228,3.00146231462393,38.82429027928012
EMBLA,North sea,ConocoPhillips Skandinavia AS,2_BLEND,blend:Ekofisk,38.8888505112461,0.207184367217011,12.2005750162672,1.43135990464352,1.86937570940228,3.00146231462393,38.82429027928012
FRAM,North sea,Equinor Energy AS,2_BLEND,blend:Troll,38.765436257241,0.130936656687094,7.17051168368127,0.780222344017711,0.302020359581978,0.432467729252159,39.56219896972246
FRAM H-NORD,North sea,Equinor Energy AS,2_BLEND,blend:Troll,38.765436257241,0.130936656687094,7.17051168368127,0.780222344017711,0.302020359581978,0.432467729252159,39.56219896972246
GYDA,North sea,,2_BLEND,blend:Ekofisk,38.8888505112461,0.207184367217011,12.2005750162672,1.43135990464352,1.86937570940228,3.00146231462393,38.82429027928012
HOD,North sea,Aker BP ASA,2_BLEND,blend:Ekofisk,38.8888505112461,0.207184367217011,12.2005750162672,1.43135990464352,1.86937570940228,3.00146231462393,38.82429027928012
IVAR AASEN,North sea,Aker BP ASA,2_BLEND,blend:Grane,27.1149865857435,0.66784513617451,19.0037543623531,3.2658749807797,11.0720274438829,3.5232091027351,38.192842737989885
KVITEBJØRN,North sea,Equinor Energy AS,2_BLEND,blend:Gullfaks,39.2636091110806,0.211019881476799,9.12833245275655,1.29277263814823,1.36373739122237,1.00202473443379,40.578826121203626
MARIA,Norwegian sea,Harbour Energy Norge AS,2_BLEND,blend:Heidrun,24.4409440894606,0.532004638793878,15.7949149993578,2.28098943136035,11.327379295567,2.45025444436768,44.70309629756213
MARULK,Norwegian sea,DNO Norge AS,2_BLEND,blend:Norne,33.9955719154872,0.173762395630177,8.05150046202256,1.0125261514852,0.514814556054689,1.4130265807347,45.44239814855472
OSEBERG SØR,North sea,Equinor Energy AS,2_BLEND,blend:Oseberg,39.9434656421417,0.189810897966947,8.32821784897739,1.26116051024895,0.884546002984465,1.07199277773617,42.91410169649291
OSEBERG ØST,North sea,Equinor Energy AS,2_BLEND,blend:Oseberg,39.9434656421417,0.189810897966947,8.32821784897739,1.26116051024895,0.884546002984465,1.07199277773617,42.91410169649291
SKOGUL,North sea,Aker BP ASA,2_BLEND,blend:Alvheim,34.5440158378669,0.40211278459505,8.72113464992648,1.122477243191,2.76486143587745,0.804090641358182,44.78554795670213
SKULD,Norwegian sea,Equinor Energy AS,2_BLEND,blend:Norne,33.9955719154872,0.173762395630177,8.05150046202256,1.0125261514852,0.514814556054689,1.4130265807347,45.44239814855472
SNORRE,North sea,Equinor Energy AS,2_BLEND,blend:Statfjord,39.2677387701335,0.249441048544377,9.47536168226264,1.33838521711888,1.6278343315846,0.98808960819825,40.498496911447944
SOLVEIG,North sea,Aker BP ASA,2_BLEND,blend:Grane,27.1149865857435,0.66784513617451,19.0037543623531,3.2658749807797,11.0720274438829,3.5232091027351,38.192842737989885
STATFJORD NORD,North sea,Equinor Energy AS,2_BLEND,blend:Statfjord,39.2677387701335,0.249441048544377,9.47536168226264,1.33838521711888,1.6278343315846,0.98808960819825,40.498496911447944
STATFJORD ØST,North sea,Equinor Energy AS,2_BLEND,blend:Statfjord,39.2677387701335,0.249441048544377,9.47536168226264,1.33838521711888,1.6278343315846,0.98808960819825,40.498496911447944
SYGNA,North sea,Equinor Energy AS,2_BLEND,blend:Statfjord,39.2677387701335,0.249441048544377,9.47536168226264,1.33838521711888,1.6278343315846,0.98808960819825,40.498496911447944
