year_month,wti_m1,wti_m2,wti_m3,wti_m4,fc_slope_4m,fc_slope_pct,d_contango,d_strong_contango,d_strong_backwardation
1983-03,,,29.3,,,,0,0,0
1983-04,30.5,,30.35,,,,0,0,0
1983-05,30.16,,29.93,,,,0,0,0
1983-06,30.96,,30.77,,,,0,0,0
1983-07,31.59,,31.48,,,,0,0,0
1983-08,31.88,,31.84,,,,0,0,0
1983-09,31.24,,31.13,,,,0,0,0
1983-10,30.4,,30.19,,,,0,0,0
1983-11,29.86,,29.5,,,,0,0,0
1983-12,29.24,,28.73,,,,0,0,0
1984-01,29.65,,29.24,,,,0,0,0
1984-02,30.05,,29.68,,,,0,0,0
1984-03,30.72,,30.47,,,,0,0,0
1984-04,30.65,,30.48,,,,0,0,0
1984-05,30.55,,30.65,,,,0,0,0
1984-06,29.98,,30.17,,,,0,0,0
1984-07,28.74,,29.09,,,,0,0,0
1984-08,29.33,,29.68,,,,0,0,0
1984-09,29.38,,29.68,,,,0,0,0
1984-10,28.8,,28.78,,,,0,0,0
1984-11,28.11,,27.81,,,,0,0,0
1984-12,26.91,,26.76,,,,0,0,0
1985-01,25.64,25.55,25.43,25.36,-0.28000000000000114,-1.0920436817472743,0,0,0
1985-02,27.14,26.62,26.22,26.01,-1.129999999999999,-4.1635961680176825,0,0,0
1985-03,28.12,27.54,27.2,26.97,-1.1500000000000021,-4.089615931721202,0,0,0
1985-04,28.71,28.06,27.71,27.52,-1.1900000000000013,-4.144897248345528,0,0,0
1985-05,27.58,26.98,26.67,26.55,-1.0299999999999976,-3.734590282813625,0,0,0
1985-06,27.09,26.35,25.92,25.66,-1.4299999999999997,-5.278700627537836,0,0,0
1985-07,27.27,26.58,26.06,25.72,-1.5500000000000007,-5.683901723505687,0,0,1
1985-08,27.74,27.27,26.95,26.69,-1.0499999999999972,-3.7851478010093627,0,0,0
1985-09,28.22,27.63,27.11,26.77,-1.4499999999999993,-5.138199858256554,0,0,0
1985-10,29.48,28.7,28.04,27.5,-1.9800000000000004,-6.716417910447762,0,0,1
1985-11,30.73,29.75,28.95,28.25,-2.4800000000000004,-8.070289619264564,0,0,1
1985-12,27.15,26.31,25.61,25.09,-2.0599999999999987,-7.587476979742169,0,0,1
1986-01,22.98,22.37,21.94,21.66,-1.3200000000000003,-5.744125326370758,0,0,0
1986-02,15.46,15.71,15.83,15.94,0.47999999999999865,3.104786545924959,1,0,0
1986-03,12.62,12.95,13.12,13.28,0.6600000000000001,5.229793977812997,1,0,0
1986-04,12.75,12.62,12.57,12.62,-0.13000000000000078,-1.019607843137261,0,0,0
1986-05,15.26,14.76,14.44,14.29,-0.9700000000000006,-6.356487549148104,0,0,0
1986-06,13.38,13.04,13.01,13.04,-0.34000000000000163,-2.5411061285500867,0,0,0
1986-07,11.58,11.3,11.35,11.49,-0.08999999999999986,-0.7772020725388589,0,0,0
1986-08,15.11,14.99,14.96,14.94,-0.16999999999999993,-1.1250827266710783,0,0,0
1986-09,14.94,15.05,15.02,14.91,-0.02999999999999936,-0.20080321285140135,0,0,0
1986-10,14.89,15.11,15.18,15.18,0.28999999999999915,1.9476158495634597,1,0,0
1986-11,15.23,15.38,15.41,15.38,0.15000000000000036,0.9848982271831934,1,0,0
