field,api_gravity,sulfur_pct,is_bfoet,production_kbpd,mean_diff,predicted,residual,n_obs
ALVHEIM,38.4,0.15,0,60,2.7436462512754076,-0.5305873169962501,3.274233568271658,94
MARTIN LINGE,41.0,0.04,0,15,1.3542553191489362,-1.15176492016076,2.506020239309696,47
GOLIAT,34.0,0.27,0,30,1.9246552542372881,0.0699683037286734,1.8546869505086148,59
GRANE,19.0,0.65,0,60,0.274712863987998,-1.327197292441882,1.6019101564298799,95
GULLFAKS,35.4,0.4,0,50,1.6771611483374516,0.15758382514489047,1.5195773231925611,96
NORNE,32.0,0.16,0,25,1.356868492852825,-0.03141296484272782,1.3882814576955527,73
STATFJORD,38.4,0.27,0,35,0.6267108185234838,-0.36679325369988736,0.9935040722233711,95
DRAUGEN,39.5,0.13,0,25,-0.32,-0.7378639342273492,0.4178639342273492,20
TROLL,28.3,0.31,1,130,2.6260416691501933,2.3175527186477285,0.30848895050246483,96
NJORD,35.0,0.21,0,30,0.15263157894736845,-0.07141147214442338,0.22404305109179184,19
OSEBERG,37.6,0.27,1,90,1.9794566839730112,2.047086742450144,-0.06763005847713299,95
EKOFISK,37.5,0.25,1,175,1.7861702118782288,2.0328732298882004,-0.24670301800997163,94
ÅSGARD,49.0,0.13,0,75,-3.764110418249915,-3.4704428984757754,-0.29366751977413985,96
JOTUN,25.0,0.2,0,10,-0.8450399989196657,-0.5432665201634994,-0.30177347875616634,20
HEIDRUN,28.5,0.5,0,50,-0.050507045417379826,0.29277391591130797,-0.3432809613286878,94
JOHAN SVERDRUP,28.0,0.8,0,600,-0.5661016949152542,0.6588731556401215,-1.2249748505553757,59
GINA KROG,36.0,0.04,0,35,-1.7569767441860464,-0.3863365390390442,-1.3706402051470024,43
SKARV,38.0,0.04,0,40,-2.1084255211267604,-0.6223056924881597,-1.4861198286386008,71
KNARR,39.0,0.13,0,20,-2.6655172413793102,-0.6525458212402312,-2.012971420139079,29
YME,32.0,0.4,0,10,-1.7603225806451612,0.29617516174999753,-2.056497742395159,31
BALDER,23.0,0.21,0,30,-3.605971855263158,-0.9020669194359565,-2.703904935827201,76
VOLVE,28.0,0.18,0,10,-3.170679974555969,-0.18739617139108572,-2.983283803164883,5
GUDRUN,39.0,0.3,0,25,-5.1303559523809525,-0.42050423157038413,-4.709851720810568,84
