field,month,differential_usd,year,source_quarter,source_file
ALVHEIM,4,3.950000047683716,2012,2,normpriser-2q-2012.xlsx
ALVHEIM,5,3.299999952316284,2012,2,normpriser-2q-2012.xlsx
ALVHEIM,6,3.700000047683716,2012,2,normpriser-2q-2012.xlsx
ALVHEIM,7,3.0,2012,3,np-3q-2012.xlsx
ALVHEIM,8,3.4000000953674316,2012,3,np-3q-2012.xlsx
ALVHEIM,9,3.4000000953674316,2012,3,np-3q-2012.xlsx
ALVHEIM,1,4.050000190734863,2013,1,np-2013-1q.xlsx
ALVHEIM,2,2.4000000953674316,2013,1,np-2013-1q.xlsx
ALVHEIM,3,3.4000000953674316,2013,1,np-2013-1q.xlsx
ALVHEIM,1,1.45,2017,1,np-q1-2017-endelige-normpriser.xlsx
ALVHEIM,2,1.2,2017,1,np-q1-2017-endelige-normpriser.xlsx
ALVHEIM,3,1.5,2017,1,np-q1-2017-endelige-normpriser.xlsx
ALVHEIM,7,1.35,2017,3,np-q3-2017-endelige-normpriser.xlsx
ALVHEIM,8,1.75,2017,3,np-q3-2017-endelige-normpriser.xlsx
ALVHEIM,9,2.2,2017,3,np-q3-2017-endelige-normpriser.xlsx
ALVHEIM,4,1.8,2019,2,np-2q-2019-normpriser.xlsx
ALVHEIM,5,2.15,2019,2,np-2q-2019-normpriser.xlsx
ALVHEIM,6,3.0,2019,2,np-2q-2019-normpriser.xlsx
ALVHEIM,8,2.452747,2019,3,np-3q-2019-normpriser.xlsx
ALVHEIM,9,2.5,2019,3,np-3q-2019-normpriser.xlsx
ALVHEIM,10,2.55,2019,4,np-4q-2019-normpriser.xlsx
ALVHEIM,11,3.15,2019,4,np-4q-2019-normpriser.xlsx
ALVHEIM,12,3.7,2019,4,np-4q-2019-normpriser.xlsx
ALVHEIM,1,4.65,2020,1,np-1q-2020-normpriser.xlsx
ALVHEIM,2,3.85,2020,1,np-1q-2020-normpriser.xlsx
ALVHEIM,3,3.65,2020,1,np-1q-2020-normpriser.xlsx
ALVHEIM,4,2.75,2020,2,np-2q-2020-normpriser.xlsx
ALVHEIM,5,-4.7,2020,2,np-2q-2020-normpriser.xlsx
ALVHEIM,6,-0.7,2020,2,np-2q-2020-normpriser.xlsx
ALVHEIM,7,1.1,2020,3,np-3q-2020-normpriser.xlsx
ALVHEIM,7,-8.6,2020,3,np-3q-2020-normpriser.xlsx
ALVHEIM,8,1.15,2020,3,np-3q-2020-normpriser.xlsx
ALVHEIM,9,1.05,2020,3,np-3q-2020-normpriser.xlsx
ALVHEIM,10,0.4,2020,4,np-4q-2020-normpriser.xlsx
ALVHEIM,11,0.15,2020,4,np-4q-2020-normpriser.xlsx
ALVHEIM,12,0.05,2020,4,np-4q-2020-normpriser.xlsx
ALVHEIM,1,0.8,2021,1,np-1q-2021-endelige-normpriser.xlsx
ALVHEIM,2,0.75,2021,1,np-1q-2021-endelige-normpriser.xlsx
ALVHEIM,3,0.4,2021,1,np-1q-2021-endelige-normpriser.xlsx
ALVHEIM,4,0.75,2021,2,np-2q-2021-endelige-normpriser.xlsx
ALVHEIM,5,0.5,2021,2,np-2q-2021-endelige-normpriser.xlsx
ALVHEIM,7,0.75,2021,3,np-3q-2021-endelige-normpriser.xlsx
ALVHEIM,8,1.55,2021,3,np-3q-2021-endelige-normpriser.xlsx
ALVHEIM,9,0.55,2021,3,np-3q-2021-endelige-normpriser.xlsx
ALVHEIM,10,0.7,2021,4,np-4q-2021-endelige-normpriser.xlsx
ALVHEIM,11,1.1,2021,4,np-4q-2021-endelige-normpriser.xlsx
ALVHEIM,12,1.5,2021,4,np-4q-2021-endelige-normpriser.xlsx
ALVHEIM,1,1.4,2022,1,np-1q-2022-endelige-normpriser.xlsx
ALVHEIM,2,1.95,2022,1,np-1q-2022-endelige-normpriser.xlsx
ALVHEIM,3,3.55,2022,1,np-1q-2022-endelige-normpriser.xlsx
ALVHEIM,4,6.2,2022,2,np-2q-2022-endelige-normpriser.xlsx
ALVHEIM,5,5.5,2022,2,np-2q-2022-endelige-normpriser.xlsx
ALVHEIM,6,7.0,2022,2,np-2q-2022-endelige-normpriser.xlsx
ALVHEIM,7,8.0,2022,3,np-3q-2022-endelige-normpriser.xlsx
ALVHEIM,8,10.95,2022,3,np-3q-2022-endelige-normpriser.xlsx
ALVHEIM,9,11.4,2022,3,np-3q-2022-endelige-normpriser.xlsx
ALVHEIM,10,6.1,2022,4,np-4q-2022-endelige-normpriser.xlsx
ALVHEIM,11,6.75,2022,4,np-4q-2022-endelige-normpriser.xlsx
ALVHEIM,12,5.9,2022,4,np-4q-2022-endelige-normpriser.xlsx
ALVHEIM,1,4.5,2023,1,np-1q-2023-endelige-normpriser.xlsx
ALVHEIM,2,5.2,2023,1,np-1q-2023-endelige-normpriser.xlsx
ALVHEIM,3,1.4,2023,1,np-1q-2023-endelige-normpriser.xlsx
ALVHEIM,4,1.4,2023,2,np-2q-2023-endelige-normpriser.xlsx
ALVHEIM,5,1.5,2023,2,np-2q-2023-endelige-normpriser.xlsx
ALVHEIM,6,2.65,2023,2,np-2q-2023-endelige-normpriser.xlsx
ALVHEIM,7,3.55,2023,3,np-3q-2023-endelige-normpriser.xlsx
ALVHEIM,8,5.0,2023,3,np-3q-2023-endelige-normpriser.xlsx
ALVHEIM,9,2.55,2023,3,np-3q-2023-endelige-normpriser.xlsx
ALVHEIM,10,4.3,2023,4,np-4q-2023-endelige-normpriser.xlsx
ALVHEIM,11,4.25,2023,4,np-4q-2023-endelige-normpriser.xlsx
ALVHEIM,12,6.7,2023,4,np-4q-2023-endelige-normpriser.xlsx
ALVHEIM,1,3.0,2024,1,np-1q-2024-endelige-normpriser.xlsx
ALVHEIM,2,3.7,2024,1,np-1q-2024-endelige-normpriser.xlsx
ALVHEIM,3,4.25,2024,1,np-1q-2024-endelige-normpriser.xlsx
ALVHEIM,4,3.4,2024,2,np-2q-2024-endelige-normpriser.xlsx
ALVHEIM,5,3.0,2024,2,np-2q-2024-endelige-normpriser.xlsx
ALVHEIM,6,3.45,2024,2,np-2q-2024-endelige-normpriser.xlsx
ALVHEIM,7,2.3,2024,3,np-3q-2024-endelige-normpriser.xlsx
ALVHEIM,8,3.15,2024,3,np-3q-2024-endelige-normpriser.xlsx
ALVHEIM,9,3.1,2024,3,np-3q-2024-endelige-normpriser.xlsx
ALVHEIM,10,2.5,2024,4,np-4q-2024-endelige-normpriser.xlsx
ALVHEIM,11,2.65,2024,4,np-4q-2024-endelige-normpriser.xlsx
ALVHEIM,12,2.05,2024,4,np-4q-2024-endelige-normpriser.xlsx
ALVHEIM,1,1.65,2025,1,np-1q-2025-endelige-normpriser.xlsx
ALVHEIM,2,1.7,2025,1,np-1q-2025-endelige-normpriser.xlsx
ALVHEIM,3,2.6,2025,1,np-1q-2025-endelige-normpriser.xlsx
ALVHEIM,4,3.1,2025,2,np-2q-2025-endelige-normpriser.xlsx
ALVHEIM,5,3.0,2025,2,np-2q-2025-endelige-normpriser.xlsx
ALVHEIM,6,3.15,2025,2,np-2q-2025-endelige-normpriser.xlsx
ALVHEIM,8,4.05,2025,3,np-3q-2025-endelige-normpriser.xlsx
ALVHEIM,9,2.1,2025,3,np-3q-2025-endelige-normpriser.xlsx
ALVHEIM,10,2.15,2025,4,np-4q-2025-endelige-normpriser.xlsx
ALVHEIM,11,2.0,2025,4,np-4q-2025-endelige-normpriser.xlsx
