grade,naphtha_pct,kerosene_pct,diesel_gasoil_pct,vgo_pct,vacuum_resid_pct,ccr_wt_pct,vanadium_ppm,nickel_ppm,nitrogen_ppm,asphaltenes_pct,source_confidence
Brent Blend,21,11,22,26,14,1.8,5.0,3.0,1100,1.2,high
Forties,22,12,23,24,13,1.5,3.0,2.0,900,0.9,high
Oseberg,21,12,23,25,13,1.6,4.0,2.0,1000,1.0,high
Ekofisk,22,12,22,26,13,1.7,4.0,2.0,1100,1.1,high
Troll,12,9,21,30,23,4.2,15.0,8.0,1900,3.1,high
Johan Sverdrup,10,8,22,28,25,4.5,12.0,9.0,2000,3.5,high
Statfjord,22,12,23,25,13,1.6,3.0,2.0,950,1.0,high
Gullfaks,18,11,22,26,17,2.4,7.0,4.0,1300,1.5,high
Alvheim,24,12,21,24,13,1.4,3.0,2.0,800,0.8,high
Grane,5,7,19,32,33,8.5,28.0,18.0,3500,6.2,medium
Heidrun,13,10,22,28,21,4.8,40.0,25.0,3200,4.2,medium
Norne,17,10,22,27,18,3.0,8.0,5.0,1400,2.0,medium
Draugen,23,12,23,25,12,1.4,3.0,2.0,800,0.9,medium
Skarv,24,13,23,24,11,1.2,2.0,1.0,700,0.7,medium
Asgard,32,14,22,20,7,0.6,1.0,1.0,400,0.3,medium
Balder,12,9,20,31,22,5.5,18.0,12.0,2400,3.8,medium
Gina Krog,23,13,23,24,11,1.2,2.0,1.0,700,0.7,medium
Goliat,19,11,22,26,17,2.6,7.0,5.0,1400,1.5,medium
Gudrun,24,13,22,24,12,1.3,3.0,2.0,800,0.8,medium
Martin Linge,28,13,22,23,9,0.8,2.0,1.0,500,0.4,medium
Njord,20,11,22,26,15,2.0,5.0,3.0,1100,1.2,medium
Yme,17,10,22,28,18,3.2,10.0,6.0,1500,2.2,low
Valhall,20,12,23,26,14,1.8,5.0,3.0,1100,1.2,medium
Ula,18,11,22,27,17,2.5,7.0,4.0,1300,1.5,low
Jotun,14,9,21,30,21,4.5,15.0,9.0,2200,3.5,low
Volve,12,9,21,30,22,5.0,17.0,10.0,2400,3.8,low
Knarr,23,13,23,24,12,1.3,3.0,2.0,800,0.8,low
WTI,24,12,22,24,12,1.5,4.0,2.0,800,0.8,high
Mars Blend,15,10,21,28,21,5.5,18.0,10.0,2400,3.8,high
LLS,22,12,22,26,13,1.6,4.0,2.0,1000,1.0,high
WCS,5,7,16,28,44,12.5,180.0,80.0,4500,9.5,high
Syncrude Sweet,18,11,22,28,16,2.5,3.0,2.0,1200,1.8,high
Cold Lake,3,5,13,25,54,14.5,210.0,95.0,5200,11.0,high
Maya,9,8,15,25,53,12.8,310.0,55.0,3800,11.5,high
Isthmus,18,11,22,26,16,2.8,8.0,4.0,1400,1.9,high
Vasconia,9,8,17,29,31,7.5,165.0,28.0,2900,5.5,medium
Oriente,9,8,16,28,33,8.0,180.0,30.0,3200,6.0,high
Merey,3,5,12,24,55,15.5,380.0,75.0,5800,12.5,high
Arab Light,15,10,21,27,22,4.5,18.0,4.0,1500,3.0,high
Arab Heavy,9,8,17,28,32,8.5,55.0,18.0,2800,5.8,high
Arab Medium,13,10,19,28,25,5.8,28.0,8.0,2000,4.0,high
Arab Extra Light,21,12,22,26,15,2.2,8.0,3.0,1100,1.6,high
Dubai Fateh,13,9,20,28,25,5.5,32.0,12.0,2300,4.2,high
Murban,21,12,22,26,14,2.0,5.0,2.0,1000,1.4,high
Oman,18,11,21,27,18,3.2,10.0,4.0,1500,2.2,high
Iran Light,14,10,21,28,22,4.5,15.0,5.0,1700,3.0,high
Iran Heavy,12,9,20,29,25,5.5,25.0,8.0,2000,4.0,high
Kuwait Export,12,10,20,28,25,5.8,30.0,10.0,2100,4.2,high
Basrah Light,12,9,19,28,27,6.5,38.0,13.0,2400,4.8,high
Basrah Heavy,7,7,15,26,40,10.5,90.0,35.0,3500,8.0,medium
Bonny Light,22,13,25,25,11,1.4,2.0,2.0,800,0.9,high
Qua Iboe,24,13,24,24,10,1.0,2.0,1.0,600,0.6,high
Forcados,18,12,24,26,15,2.0,5.0,3.0,1100,1.3,high
Brass River,28,13,22,22,9,0.7,1.0,1.0,400,0.3,medium
Girassol,18,11,22,27,17,2.5,6.0,4.0,1400,1.7,high
Cabinda,20,12,22,26,15,2.0,5.0,3.0,1100,1.3,high
Dalia,8,8,17,30,32,7.5,150.0,25.0,2800,5.5,medium
Saharan Blend,30,14,21,21,8,0.6,1.0,1.0,400,0.3,high
Es Sider,22,12,23,25,13,1.5,3.0,2.0,900,1.0,high
Rabi Light,20,12,22,26,14,1.8,4.0,2.0,1000,1.2,medium
Djeno,12,9,19,29,25,5.5,40.0,12.0,2300,4.5,medium
Urals,15,10,20,28,22,5.0,32.0,15.0,2200,4.2,high
ESPO,18,11,22,27,17,3.0,8.0,4.0,1400,2.0,high
CPC Blend,30,14,22,21,7,0.5,1.0,1.0,400,0.3,high
Azeri Light,22,12,23,25,13,1.5,2.0,1.0,900,1.0,high
Tengiz,32,14,22,20,7,0.6,1.0,1.0,400,0.3,high
Tapis,28,13,22,23,9,0.7,1.0,1.0,500,0.4,high
Minas,18,10,20,28,18,3.5,12.0,3.0,1500,2.5,high
Daqing,12,8,19,29,25,5.5,8.0,3.0,2200,4.0,high
Cossack,32,14,22,20,6,0.5,1.0,1.0,300,0.3,medium
Bach Ho,26,12,22,24,10,0.9,2.0,1.0,500,0.5,medium
Seria Light,22,12,22,25,13,1.4,2.0,1.0,800,0.7,medium
Marlim,9,8,17,28,32,7.8,80.0,18.0,2700,5.5,medium
Bow River Heavy,4,6,15,28,38,10.1,115.0,48.9,4300,9.0,high
Canadian Light Sour,18,11,22,27,5,3.74,21.2,10.6,1400,1.8,medium
Lloydminster,3,5,13,25,40,9.53,105.5,50.0,4800,10.5,high
Napo,8,8,16,28,34,8.5,200.0,32.0,3300,6.2,medium
Olmeca,21,12,22,26,15,2.0,8.0,4.0,1200,1.6,medium
Furrial,12,9,20,28,24,5.5,30.0,12.0,2300,4.2,medium
Leona,10,8,18,28,30,7.0,80.0,20.0,2700,5.2,medium
