field,crude_grade,operator,api_gravity,sulfur_pct,tan_mgkoh,viscosity_cst_20c,pour_point_c,is_bfoet,production_kbpd,confidence,source_note
ALVHEIM,Alvheim Blend,Aker BP,38.4,0.15,0.05,5.0,-30,0,60,medium,Public assay - lett soet
BALDER,Balder Blend,Var Energi,23.0,0.21,1.00,80.0,-3,0,30,low,Heavy crude - flere felt
DRAUGEN,Draugen,OKEA,39.5,0.13,0.04,5.0,-3,0,25,medium,Sweet light - verifiser
EKOFISK,Ekofisk Blend,ConocoPhillips,37.5,0.25,0.08,6.0,-27,1,175,medium,BFOET-medlem (siden 2007)
GINA KROG,Gina Krog,Equinor,36.0,0.04,0.04,3.0,-30,0,35,medium,Sweet condensate
GOLIAT,Goliat Blend,Var Energi,34.0,0.27,0.30,12.0,-30,0,30,low,Barents medium - estimat
GRANE,Grane,Equinor,19.0,0.65,0.55,300.0,21,0,60,medium,Heavy sour - tung olje med vox
GUDRUN,Gudrun,Equinor,39.0,0.30,0.10,3.0,-33,0,25,low,Lett kondensat - verifiser
GULLFAKS,Gullfaks Blend,Equinor,35.4,0.40,0.30,8.0,-3,0,50,medium,Medium - lett sur
HEIDRUN,Heidrun,Equinor,28.5,0.50,2.80,40.0,18,0,50,high,Medium sour - notorisk hoy TAN
JOHAN SVERDRUP,Johan Sverdrup Blend,Equinor,28.0,0.80,0.45,15.0,-3,0,600,medium,Medium sour - kjent for rabatt
JOTUN,Jotun Blend,Var Energi,25.0,0.20,0.20,30.0,-3,0,10,low,Medium - lite info offentlig
KNARR,Knarr,Shell/Lundin,39.0,0.13,0.10,4.0,-6,0,20,low,Light sweet - estimat
MARTIN LINGE,Martin Linge,Equinor,41.0,0.04,0.04,3.0,-33,0,15,medium,Light sweet condensate
NJORD,Njord,Equinor,35.0,0.21,0.30,8.0,-6,0,30,low,Sweet light - estimat
NORNE,Norne Blend,Equinor,32.0,0.16,1.00,15.0,27,0,25,medium,Voksrik - hoyt pour point
OSEBERG,Oseberg Blend,Equinor,37.6,0.27,0.07,5.0,-33,1,90,high,BFOET-medlem (siden 2002)
SKARV,Skarv,Aker BP,38.0,0.04,0.04,4.0,-33,0,40,medium,Very sweet near-condensate
STATFJORD,Statfjord Blend,Equinor,38.4,0.27,0.05,5.0,-3,0,35,high,Light sweet - Brent-adjacent
TROLL,Troll Blend,Equinor,28.3,0.31,0.40,12.0,-27,1,130,high,BFOET-medlem (siden 2018)
VOLVE,Volve,Equinor,28.0,0.18,0.20,20.0,-3,0,10,low,Felt nedstengt 2016 - lite data
YME,Yme,Repsol,32.0,0.40,0.30,15.0,-3,0,10,low,Medium - lite info offentlig
ÅSGARD,Åsgard,Equinor,49.0,0.13,0.04,2.0,-33,0,75,medium,Light condensate fra Norskehavet
