date,mars_usd
2004-01-15,30.02
2004-02-15,30.24
2004-03-15,30.21
2004-04-15,31.67
2004-05-15,31.95
2004-06-15,33.66
2004-07-15,34.96
2004-08-15,39.04
2004-09-15,37.24
2004-10-15,43.61
2004-11-15,40.05
2004-12-15,36.35
2005-01-15,37.49
2005-02-15,39.27
2005-03-15,45.12
2005-04-15,46.38
2005-05-15,43.78
2005-06-15,47.19
2005-07-15,51.85
2005-08-15,55.06
2005-09-15,58.82
2005-10-15,55.22
2005-11-15,52.31
2005-12-15,51.63
2006-01-15,54.86
2006-02-15,54.25
2006-03-15,54.72
2006-04-15,56.43
2006-05-15,61.72
2006-06-15,62.2
2006-07-15,64.23
2006-08-15,64.72
2006-09-15,57.99
2006-10-15,51.19
2006-11-15,50.43
2006-12-15,53.01
2007-01-15,47.64
2007-02-15,49.87
2007-03-15,52.74
2007-04-15,57.05
2007-05-15,59.98
2007-06-15,61.01
2007-07-15,66.59
2007-08-15,64.48
2007-09-15,70.35
2007-10-15,75.01
2007-11-15,78.31
2007-12-15,82.6
2008-01-15,83.78
2008-02-15,87.3
2008-03-15,92.87
2008-04-15,100.54
2008-05-15,109.85
2008-06-15,121.24
2008-07-15,125.75
2008-08-15,120.38
2008-09-15,100.15
2008-10-15,84.49
2008-11-15,65.95
2008-12-15,42.98
2009-01-15,37.21
2009-02-15,36.06
2009-03-15,43.37
2009-04-15,44.92
2009-05-15,50.22
2009-06-15,60.39
2009-07-15,61.58
2009-08-15,64.71
2009-09-15,66.5
2009-10-15,68.3
2009-11-15,70.78
2009-12-15,72.61
2010-01-15,73.03
2010-02-15,74.42
2010-03-15,73.98
2010-04-15,77.28
2010-05-15,75.98
2010-06-15,73.57
2010-07-15,72.66
2010-08-15,72.56
2010-09-15,73.27
2010-10-15,76.3
2010-11-15,79.72
2010-12-15,83.71
2011-01-15,87.58
2011-02-15,90.37
2011-03-15,104.39
2011-04-15,113.39
2011-05-15,110.5
2011-06-15,105.13
2011-07-15,108.62
2011-08-15,105.79
2011-09-15,106.74
2011-10-15,110.41
2011-11-15,110.84
2011-12-15,110.73
2012-01-15,105.42
2012-02-15,108.62
2012-03-15,115.55
2012-04-15,117.7
2012-05-15,111.33
2012-06-15,99.04
2012-07-15,93.49
2012-08-15,95.34
2012-09-15,105.08
2012-10-15,102.99
2012-11-15,101.39
2012-12-15,101.87
2013-01-15,105.7
2013-02-15,106.83
2013-03-15,108.79
2013-04-15,106.43
2013-05-15,101.23
2013-06-15,99.39
2013-07-15,100.06
2013-08-15,104.09
2013-09-15,104.22
2013-10-15,100.19
2013-11-15,92.49
2013-12-15,92.48
2014-01-15,91.99
2014-02-15,101.11
2014-03-15,100.6
2014-04-15,100.08
2014-05-15,97.26
2014-06-15,99.79
2014-07-15,99.86
2014-08-15,95.54
2014-09-15,93.28
2014-10-15,84.57
2014-11-15,85.47
2014-12-15,65.79
2015-01-15,48.22
2015-02-15,44.9
2015-03-15,45.35
2015-04-15,55.9
2015-05-15,56.27
2015-06-15,61.07
2015-07-15,51.65
2015-08-15,43.76
2015-09-15,40.47
2015-10-15,41.32
2015-11-15,37.03
2015-12-15,32.9
2016-01-15,27.73
2016-02-15,23.93
2016-03-15,28.54
2016-04-15,32.97
2016-05-15,37.12
2016-06-15,41.6
2016-07-15,40.2
2016-08-15,39.14
2016-09-15,38.7
2016-10-15,41.84
2016-11-15,41.27
2016-12-15,43.41
2017-01-15,45.84
2017-02-15,47.07
2017-03-15,45.86
2017-04-15,45.8
2017-05-15,45.0
2017-06-15,42.38
2017-07-15,42.21
2017-08-15,43.13
2017-09-15,46.32
2017-10-15,48.72
2017-11-15,54.02
2017-12-15,56.49
2018-01-15,60.92
2018-02-15,61.01
2018-03-15,59.01
2018-04-15,61.13
2018-05-15,66.02
2018-06-15,66.96
2018-07-15,69.89
2018-08-15,65.96
2018-09-15,68.04
2018-10-15,71.58
2018-11-15,65.37
2018-12-15,55.95
2019-01-15,52.2
2019-02-15,55.07
2019-03-15,60.36
2019-04-15,65.55
2019-05-15,64.07
2019-06-15,60.54
2019-07-15,59.13
2019-08-15,57.42
2019-09-15,56.86
2019-10-15,54.87
2019-11-15,53.71
2019-12-15,57.48
2020-01-15,55.4
2020-02-15,50.45
2020-03-15,32.24
2020-04-15,15.13
2020-05-15,17.35
2020-06-15,33.21
2020-07-15,38.37
2020-08-15,41.31
2020-09-15,39.28
2020-10-15,37.89
2020-11-15,39.69
2020-12-15,44.66
2021-01-15,50.66
2021-02-15,57.88
2021-03-15,61.17
2021-04-15,60.76
2021-05-15,63.92
2021-06-15,69.89
2021-07-15,70.9
2021-08-15,65.45
2021-09-15,67.54
2021-10-15,78.62
2021-11-15,75.63
2021-12-15,68.86
2022-01-15,80.57
2022-02-15,88.12
2022-03-15,105.5
2022-04-15,102.44
2022-05-15,107.6
2022-06-15,112.37
2022-07-15,96.45
2022-08-15,91.55
2022-09-15,83.12
2022-10-15,84.98
2022-11-15,81.66
2022-12-15,73.9
2023-01-15,72.22
2023-02-15,71.85
2023-03-15,70.62
2023-04-15,77.14
2023-05-15,69.96
2023-06-15,68.88
2023-07-15,74.62
2023-08-15,81.26
2023-09-15,89.03
2023-10-15,85.15
2023-11-15,77.55
2023-12-15,71.95
2024-01-15,73.07
2024-02-15,75.64
2024-03-15,78.94
2024-04-15,83.44
2024-05-15,79.52
2024-06-15,78.75
2024-07-15,80.18
2024-08-15,75.77
2024-09-15,68.82
2024-10-15,70.22
2024-11-15,68.09
2024-12-15,68.05
2025-01-15,74.27
2025-02-15,71.43
2025-03-15,69.27
2025-04-15,64.57
2025-05-15,61.74
2025-06-15,66.58
2025-07-15,67.76
2025-08-15,64.86
2025-09-15,63.45
2025-10-15,60.56
2025-11-15,59.43
2025-12-15,57.72
2026-01-15,59.93
2026-02-15,62.59
