field,wi,D_nom,eff_annual,diff,conf
VOLUND,,27.006900128709088,23.667317801354393,,operator_low
VILJE,,21.81042747676325,19.595840395545018,,operator_low
EDVARD GRIEG,65.0,19.85384721369983,18.00717742574225,-0.1681945236563442,operator_medium
SKOGUL,65.0,19.15354676450681,17.430966070475375,0.44140351475628287,operator_low
IVAR AASEN,34.8,17.70193851141811,16.223645577637726,-0.1645670526926154,operator_low
SKARV,23.8,14.85774597060745,13.806676051075705,-4.208366060504173,operator_direct
BØYLA,65.0,9.9781716578846,9.496504939858564,0.4568045016558028,operator_low
ALVHEIM,65.0,8.48313818852715,8.133282473045577,0.459704494961702,operator_direct
ULA,80.0,8.403304988334162,8.059913049849044,0.6260678965697584,operator_direct
TAMBAR,55.0,7.23515645469035,6.979618836259127,0.6635866889077306,operator_medium
VALHALL,90.0,5.09988366270452,4.972022393842512,0.6247443133397133,operator_direct
HOD,90.0,3.85212713092265,3.778876297063327,0.6225244625096945,operator_direct
