field,n_fit,n_forecast,total_months_post_peak,exp_qi,exp_Di,exp_b,exp_r2_fit,exp_mae,exp_rmse,exp_bias,exp_mape,exp_cum_err_pct,hyp_qi,hyp_Di,hyp_b,hyp_r2_fit,hyp_mae,hyp_rmse,hyp_bias,hyp_mape,hyp_cum_err_pct,harm_qi,harm_Di,harm_b,harm_r2_fit,harm_mae,harm_rmse,harm_bias,harm_mape,harm_cum_err_pct,best_model,best_r2_fit,best_mape,best_rmse,best_bias,best_cum_err_pct,best_qi,best_Di,best_b,api_gravity,sulfur_pct,pour_point_c,vacuum_resid_pct,oil_mean,main_area,D_annual,field_age_mean,grade
ALVHEIM,60,136,196,77.23458420384,0.007608859986140622,0.0,0.5105931760996738,12.779521039187625,15.223475167822258,11.378980458007273,30.95273706787161,-27.25814377113857,80.42141617309784,0.012828228252141353,1.9999999999733196,0.5196394649746974,7.345072154068765,10.761571857200005,2.0849903122262803,20.1844576045129,-4.994556929052651,78.71412936396271,0.009721552491955145,1.0,0.5155914177332135,8.561269823120616,11.714556449812836,5.685749788392092,21.39560658453397,-13.620111727114553,hyp,0.5196394649746974,20.1844576045129,10.761571857200005,2.0849903122262803,-4.994556929052651,80.42141617309784,0.012828228252141353,1.9999999999733196,34.5440158378669,0.40211278459505,-39.0,8.72113464992648,0.25479755,North sea,0.0563707420596046,19.33,Alvheim
BALDER,60,181,241,94.3613805707458,0.017180560283829364,0.0,0.9173092455052797,14.99493849205081,19.060496913550356,14.645833503042294,59.79609086822353,-58.822235815317,94.40674427916267,0.017252564661666536,0.010000000000428486,0.9170230594679406,14.871182386781316,18.953221700694524,14.51119884103314,59.21172044023546,-58.28150101616934,98.46572256566927,0.026317773131282904,1.0,0.876421423266385,7.424473170620708,11.906077520640183,3.339626458142661,29.23049894598301,-13.412981583815863,exp,0.9173092455052797,59.79609086822353,19.060496913550356,14.645833503042294,-58.822235815317,94.3613805707458,0.017180560283829364,0.0,30.0,0.55,-6.0,18.0,0.2532747151898734,North sea,0.0674451260768583,45.5,Balder
DRAUGEN,60,256,316,101.89645239954903,0.009043371997174449,0.0,0.43044238403246315,6.4011289101192235,8.083169570781118,-6.3364137431693734,48.540713505985174,38.429119011232274,101.90397121619222,0.00906148812226363,0.010000000000173242,0.4302090676190248,6.568962923610733,8.201457190437468,-6.510223235141035,50.431969276130296,39.48323983146139,102.51592424003131,0.01102590161817225,1.0,0.40653468888318023,19.410594801704228,19.866136670079026,-19.3923732634766,195.36879178171029,117.61097842699087,exp,0.43044238403246315,48.540713505985174,8.083169570781118,-6.3364137431693734,38.429119011232274,101.89645239954903,0.009043371997174449,0.0,41.4190002302327,0.148773065682343,-24.0,5.51249407724695,0.3852344117647059,Norwegian sea,0.117334248026352,25.983957219251337,Draugen
EKOFISK,60,532,592,87.61762480003686,0.010912840817324928,0.0,0.5614775877193356,37.568598412648555,45.34914098556564,37.16324520315117,79.84929538895402,-82.69857288999248,87.63306492197982,0.010941662765174921,0.01000000000000001,0.5612526033244942,37.47130283001366,45.24725061094771,37.05517197399104,79.63215487262693,-82.45807984988525,89.03355680364301,0.01425054329717278,1.0,0.5369343907476187,28.037112918001334,35.408562158753206,25.871074246244756,57.98226164137804,-57.57034692745469,exp,0.5614775877193356,79.84929538895402,45.34914098556564,37.16324520315117,-82.69857288999248,87.61762480003686,0.010912840817324928,0.0,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,0.7869419595645412,North sea,0.0147779693742812,29.87402799377916,Ekofisk
ELDFISK,60,483,543,86.96974780992879,0.008900500904852318,0.0,0.5595136833038892,32.72254603587244,35.13511527576566,32.37278927465131,76.59757593110989,-73.54858433990266,91.9579536618975,0.016552037345048717,1.9999999999999998,0.5838664960365626,16.27692820888384,18.250803103538498,13.82733838290159,46.09164042204622,-31.414690733724715,89.47786439400566,0.012007192773795333,1.0,0.5758648975683401,22.55256820017454,24.71994258541612,21.307967977088527,56.309089305560015,-48.410128227720385,hyp,0.5838664960365626,46.09164042204622,18.250803103538498,13.82733838290159,-31.414690733724715,91.9579536618975,0.016552037345048717,1.9999999999999998,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,0.2298398348623853,North sea,0.0102500978339937,32.89724770642202,Ekofisk
EMBLA,59,312,371,93.94914331781766,0.018662493860272553,0.0,0.6981697621256298,9.326786019414326,10.761664247945392,9.246405902136367,75.58219180734575,-64.06185482056807,102.87694255368281,0.03400099734186903,1.0774539744190235,0.7224759388673541,4.443014442229413,6.000642159946261,-1.2022821308358078,53.84705349620697,8.329768791695727,102.2682059468669,0.032516936614410186,1.0,0.7223659908280922,4.165591380034298,5.850126090233734,-0.5028329882922108,47.92024392306047,3.4837767491394147,hyp,0.7224759388673541,53.84705349620697,6.000642159946261,-1.2022821308358078,8.329768791695727,102.87694255368281,0.03400099734186903,1.0774539744190235,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,0.0280274005305039,North sea,0.0831182661582441,21.787798408488065,Ekofisk
FRAM,60,144,204,89.6530515923203,0.007580927520779001,0.0,0.4127779909253113,6.191247195325733,8.355448253390001,0.5611527757239381,27.797323736739493,-1.6024191552206775,89.66624178952517,0.007597266105481665,0.010000000618914474,0.41277140322669315,6.1553703346400885,8.331380861411894,0.4655703223772143,27.783640726989333,-1.329475385231874,90.94583449991507,0.009450575811944377,1.0,0.41051176763302144,7.9946041010620865,10.129388769287443,-6.641047709517476,42.42896979503568,18.964072746029775,exp,0.4127779909253113,27.797323736739493,8.355448253390001,0.5611527757239381,-1.6024191552206775,89.6530515923203,0.007580927520779001,0.0,38.765436257241,0.130936656687094,-12.0,7.17051168368127,0.1592327450980392,North sea,0.0827846180450101,24.968627450980392,Troll
GRANE,60,173,233,89.17772052227396,0.005133457081400763,0.0,0.4522329980904155,13.83909520546874,16.156545566206887,-13.436621730905891,87.48975762472878,45.02119066581401,90.86275300609802,0.007252410421809329,1.9999999999967262,0.4586496820107513,22.630151655456803,24.58496151153868,-22.584127638495485,140.69057225620193,75.67112751973224,89.9867551256721,0.00606012977575959,1.0,0.4557286114480431,19.072427886136023,21.10994095251412,-18.9971645065588,119.9908613449395,63.65252981650736,hyp,0.4586496820107513,140.69057225620193,24.58496151153868,-22.584127638495485,75.67112751973224,90.86275300609802,0.007252410421809329,1.9999999999967262,27.1149865857435,0.66784513617451,0.0,19.0037543623531,0.5165407116104869,North sea,0.100358621620288,23.471910112359552,Grane
GUDRUN,60,64,124,102.24030379183506,0.016931293080951156,0.0,0.6989066164750388,6.520368147337788,8.448201954993134,3.8489081936051925,36.13235108308028,-14.65607082014581,102.28708823844573,0.017000939193313993,0.010000000000499226,0.6986446664960486,6.460411663624286,8.389102425202845,3.72174709486713,36.08696430041643,-14.171860240176912,106.71992072293466,0.025910986044375164,1.0,0.6665714087354528,7.780230335319612,9.66857542458305,-5.803713594559359,63.17842152302118,22.099679489115417,exp,0.6989066164750388,36.13235108308028,8.448201954993134,3.8489081936051925,-14.65607082014581,102.24030379183506,0.016931293080951156,0.0,52.8907602496174,0.107484276736867,-34.4871872756882,3.48375045787699,0.1554933076923077,North sea,0.1864250161132203,45.246153846153845,Gudrun
GULLFAKS,60,316,376,93.2590569834779,0.010045192568953972,0.0,0.592147887024061,3.018198659227114,4.329469161659427,-1.686170201988406,27.254952628857648,12.35811995493194,93.2776616899745,0.010071610682903721,0.010000000000000018,0.5920251940815333,3.054180651884701,4.370951919304035,-1.8368086327162771,27.240299669260065,13.462164964482232,95.10708909786023,0.013179191371868137,1.0,0.5780315081024274,13.73925764739371,14.095155780258336,-13.73925764739371,174.86055629262495,100.69647411511708,exp,0.592147887024061,27.254952628857648,4.329469161659427,-1.686170201988406,12.35811995493194,93.2590569834779,0.010045192568953972,0.0,39.2636091110806,0.211019881476799,-14.3598584609337,9.12833245275655,0.8213749781659389,North sea,0.1032948927693395,28.58515283842795,Gullfaks
GYDA,60,242,302,87.3878098762204,0.0183798474290236,0.0,0.8571090249697425,2.8049409653602795,3.9066169427969113,2.1719924611817483,43.27915652744515,-25.395075065019395,87.43793634609919,0.018463196454626275,0.010000000000000002,0.8568572993294463,2.737947271422604,3.8357650021308705,2.0679772988438563,41.30916317783498,-24.178923120351143,92.50142924665572,0.029706362060407165,1.0,0.8243169948448503,7.811826233440983,8.296648897887911,-7.805825447592734,265.20892207877756,91.266211429759,exp,0.8571090249697425,43.27915652744515,3.9066169427969113,2.1719924611817483,-25.395075065019395,87.3878098762204,0.0183798474290236,0.0,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,0.096768245614035,North sea,0.1709002781717435,25.27485380116959,Ekofisk
HEIDRUN,60,278,338,84.99605077562417,0.003936700697156196,0.0,0.17943579094586215,12.182164571205217,13.82300537595219,-11.840143494806354,64.74034846305359,41.00203245662553,85.91791252423205,0.005102515124868994,1.9999999999996618,0.18183263289793528,22.140246018700235,23.753973960783867,-21.92717197269711,117.04459253351733,75.93308453574954,85.46098036101517,0.004472831328764995,1.0,0.18093039301914693,18.27547622648939,19.73242447886036,-18.023881997422187,96.9879880919838,62.41611809661429,hyp,0.18183263289793528,117.04459253351733,23.753973960783867,-21.92717197269711,75.93308453574954,85.91791252423205,0.005102515124868994,1.9999999999996618,24.4409440894606,0.532004638793878,-64.993677147368,15.7949149993578,0.4786260227272727,Norwegian sea,0.0667867165407132,26.0,Heidrun
HOD,60,332,392,79.95085066648254,0.02275134323202952,0.0,0.8711140912303679,10.688695285713262,14.130134032141108,10.099688509254353,87.60586892162753,-79.17556283619747,91.60514267206206,0.04883844119918322,1.1187719986124711,0.9142886254223287,7.478925582825665,10.38419526174446,2.2545605801010966,105.8108044241592,-17.674416662874577,90.41462219199987,0.04487576681624783,1.0,0.9138445002321397,7.470135457243832,10.603188687811498,3.111565855716831,93.9604437386291,-24.39282931374909,hyp,0.9142886254223287,105.8108044241592,10.38419526174446,2.2545605801010966,-17.674416662874577,91.60514267206206,0.04883844119918322,1.1187719986124711,38.8888505112461,0.207184367217011,-3.0,12.2005750162672,0.0267470229007633,North sea,0.052963506271966,34.24936386768448,Ekofisk
